* REW测量的测量数据V5.20.13
* 来源: 频率响应平均数据
* 格式: Averaged data produced from the rms magnitudes of R, R, 均方根平均值1
* 日期: 2025-1-17 17:54:23
* REW 设置:
* C计权补偿: 关
*  目标电平: 75.0 dB
* 注释: Averaged data produced from the rms magnitudes of R, R, 均方根平均值1
* 测量: 均方根平均值1
* 平滑: 1/24 倍频程
* 频率步进: 1/48 倍频程
* 起始频率: 2.200 Hz
*
* 频率(Hz) SPL(dB)
25000.000000 54.381
25400.000000 54.493
25800.000000 54.951
26200.000000 55.844
26500.000000 56.785
26900.000000 58.344
27200.000000 59.635
27600.000000 61.117
28000.000000 61.798
28500.000000 61.043
29000.000000 58.537
29500.000000 55.045
30000.000000 52.247
30400.000000 51.301
30700.000000 51.078
31100.000000 50.903
31500.000000 50.537
32000.000000 49.631
32500.000000 48.382
33000.000000 47.245
33500.000000 46.545
34000.000000 46.229
34500.000000 46.156
35000.000000 46.243
35500.000000 46.475
36000.000000 46.875
36500.000000 47.398
37000.000000 47.909
37500.000000 48.230
38200.000000 48.189
38700.000000 47.875
39500.000000 47.380
40000.000000 47.293
40600.000000 47.484
41200.000000 48.036
41800.000000 48.628
42500.000000 48.805
43100.000000 48.707
43700.000000 48.576
44400.000000 48.103
45000.000000 47.246
45500.000000 46.218
46200.000000 44.462
46800.000000 43.215
47500.000000 43.053
